Id;City;Area;Street;HouseNumber;Price;Size;Rooms;Floor;NumberOfFloors;Year;Type;Heating;Furnishings;Link;UploadDate;ViewedBy;RememberedBy;ScrapeDate;Class
7267DDDD-FA74-4207-810D-00026484311F;Kaunas;" Žaliakalnis";" Žemaitės g.";8;109900;53,43;3;3;3;1932;Mūrinis;Elektra;Įrengtas;https://www.aruodas.lt/butai-kaune-zaliakalnyje-zemaites-g-parduodamas-siltas-sauletas-ir-sviesus-3-1-3058303/;2022-01-05 00:00:00.0000000;3093;105;2022-02-17 07:23:49.5609860;butas
46238971-7411-4652-9C87-001F823983B4;Kaunas;" Centras";" Karaliaus Mindaugo pr.";9;208000;65;3;2;4;2021;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-centre-karaliaus-mindaugo-pr-parduodamas-triju-kambariu-butas-naujai-1-3083499/;2021-09-17 00:00:00.0000000;2165;5;2022-02-17 08:02:13.4286030;butas
8F4668E0-DA77-433E-B808-00284BF38DBB;Kaunas;" Žaliakalnis";" Aukštaičių g.";72;62000;62,9;3;2;2;1938;Rąstinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-zaliakalnyje-aukstaiciu-g-parduodamas-3-kambariu-butas-prestiziniame-1-3173792/;2022-01-24 00:00:00.0000000;1989;28;2022-02-17 01:31:55.3578090;butas
50414B50-44B6-458C-A2A6-004FF4A1AC2B;Kaunas;" Šilainiai";" Naujakurių g.";94;99000;55;3;8;9;2021;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-silainiuose-naujakuriu-g-naujakuriu-namai-naujos-statybos-butai-1-3178036/;2022-02-07 00:00:00.0000000;766;17;2022-02-16 22:47:02.7136570;butas
1321032D-CE16-42BC-A69F-006753CE76AF;Kaunas;" Šilainiai";" Baltijos g.";4;72000;59,06;3;1;5;1992;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-silainiuose-baltijos-g-parduodamas-patogaus-isplanavimo-3-kambariu-1-3173096/;2022-02-03 00:00:00.0000000;1717;63;2022-02-16 22:56:08.2737310;butas
E00BFFDD-5C15-4BB0-930E-009BB2EC2C8D;Kaunas;" Dainava";" M. Riomerio g.";5;29900;25,32;1;0;4;1962;Mūrinis;Elektra;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-m-riomerio-g-naujai-irengta-erdvi-studija-privalumai-1-3175522/;2022-01-31 00:00:00.0000000;3135;40;2022-02-17 01:22:55.7156670;butas
607AA817-67EA-4B2C-95A9-0107A5C08EA0;Kaunas;" Marvelė";" Marvelės g.";123;52000;72,58;3;1;2;1937;Karkasinis;Kietu kuru;Įrengtas;https://www.aruodas.lt/butai-kaune-marveleje-marveles-g-parduodamas-butas-salia-senamiescio-6-butu-1-3068125/;2021-08-20 00:00:00.0000000;6222;51;2022-02-17 08:03:59.9136040;butas
02ED977A-54E5-495B-9109-011F9B3CF3FE;Kaunas;" Centras";" M. K. Čiurlionio g.";27;179000;71,44;3;3;3;2021;Mūrinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-centre-m-k-ciurlionio-g-parduodamos-isskirtinis-naujai-irengtas-1-3172490/;2022-01-19 00:00:00.0000000;2860;23;2022-02-17 01:40:56.8164770;butas
E7D1FC53-D0C1-40B2-BB35-018307F4399E;Kaunas;" Dainava";" V. Krėvės pr.";14;93000;62;3;5;5;1977;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-suremontuotas-3k-butas-1-3174112/;2022-02-09 00:00:00.0000000;676;10;2022-02-16 22:40:07.6528970;butas
E7211A5C-ACAD-4E40-A6B1-01F54C2CE01F;Kaunas;" Petrašiūnai";" Vaivos g.";2;63000;49,16;2;7;9;1976;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-petrasiunuose-vaivos-g-parduodamas-2-kambariu-butas-vaivos-gatveje-1-3175852/;2022-01-31 00:00:00.0000000;1227;23;2022-02-17 01:21:26.4129030;butas
F5F30193-61AA-49E4-B542-0332AFA038D8;Kaunas;" Vilijampolė";" Linkuvos g.";19;44000;38;1;1;1;1927;Medinis;Elektra, kietu kuru;Įrengtas;https://www.aruodas.lt/butai-kaune-vilijampoleje-linkuvos-g-parduodamas-1k-butas-vilijampoleje-linkuvos-g-1-3170946/;2022-01-13 00:00:00.0000000;1958;6;2022-02-17 07:16:34.1134090;butas
85613741-65AF-4541-8F10-035A961DD6AE;Kaunas;" Petrašiūnai";" M. Gimbutienės g.";12A;13000;16,01;1;3;5;1977;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-petrasiunuose-m-gimbutienes-g-parduodamas-bendrabucio-tipo-butas-1-3178076/;2021-12-05 00:00:00.0000000;950;4;2022-02-17 07:36:00.2871010;butas
90C1BC22-B798-485F-ADC2-03892E2B10AB;Kaunas;" Žemieji Šančiai";" Drobės g.";17;75900;56;3;1;1;1990;Rąstinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-sanciuose-drobes-g-butas-su-privaciu-kiemeliu-z-sanciu-1-3075669/;2021-08-26 00:00:00.0000000;2811;18;2022-02-17 01:33:37.7646010;butas
9270292C-CFF4-4FA3-BE3D-03BB35281C73;Kaunas;" Vilijampolė";" Vytenio g.";6;85000;42;2;1;5;1969;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-vilijampoleje-vytenio-g-nt-agentu-prasau-netrukdyti-namas-1-3179604/;2022-02-12 00:00:00.0000000;776;16;2022-02-16 22:32:19.6896630;butas
0A6B0E3F-C599-44BB-BFE8-03C4D1C6E881;Kaunas;" Panemunė";" Kampiškių g.";2D;115800;54,9;2;1;4;2020;Mūrinis;Aeroterminis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-panemuneje-kampiskiu-g-naujas-projektas-naujoji-panemune-1-3178778/;2022-02-09 00:00:00.0000000;146;4;2022-02-16 22:40:30.8479580;butas
F9153616-03E4-4A2C-92B6-045F20391503;Kaunas;" Eiguliai";" Žeimenos g.";127;81700;38,9;2;2;5;2022;Mūrinis;Centrinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-eiguliuose-zeimenos-g-zeimenos127-taps-jaukus-namai-visiems-1-3037699/;2021-11-17 00:00:00.0000000;1834;34;2022-02-17 07:40:59.2610160;butas
7CEFA83E-5F9A-4028-9EDC-04693B8F7733;Kaunas;" Freda";" Europos pr.";4;121269;50,71;2;1;7;2022;Blokinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-fredoje-europos-pr-butas-su-46m2-terasa-visa-projekto-1-3059585/;2022-02-11 00:00:00.0000000;227;39;2022-02-16 22:33:52.5605060;butas
754538F2-ABC6-41E4-B61F-048DAFFA9C3A;Kaunas;" Dainava";" Draugystės g.";18;75000;61,4;3;4;5;1965;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-draugystes-g-parduodamas-3-ju-kambariu-butas-dainavos-1-3160635/;2021-12-02 00:00:00.0000000;1830;10;2022-02-17 07:36:24.5961280;butas
ACA7EB4A-E603-4964-9756-053E94AB6048;Kaunas;" Žaliakalnis";" Savanorių pr.";80F;90000;49,7919;2;6;9;1980;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-zaliakalnyje-savanoriu-pr-butas-yra-dislokuotas-kvartale-apribotame-1-3169564/;2022-01-09 00:00:00.0000000;2735;17;2022-02-17 07:20:08.5248670;butas
0A45DDA1-72E9-4EE1-80AC-05757AE1F3D1;Kaunas;" Dainava";" Taikos pr.";57;85191;42,81;2;5;7;2022;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-dainavoje-taikos-pr-life-story-namai-kuriuos-sukureme-1-3179984/;2022-02-14 00:00:00.0000000;372;2;2022-02-16 22:26:59.0503250;butas
